iter	Logloss
0	0.6777000609
1	0.6537162544
2	0.6313834131
3	0.6148693679
4	0.6057888973
5	0.593399211
6	0.5776047063
7	0.5482204333
8	0.5377060474
9	0.5130537564
10	0.5011086839
11	0.4782827674
12	0.4685762632
13	0.4575297794
14	0.4485939508
15	0.4401793727
16	0.4347730308
17	0.4268226153
18	0.4175239058
19	0.4123284556
20	0.3979112599
21	0.3916852566
22	0.3832464608
23	0.376229847
24	0.3717329747
25	0.3661605298
26	0.36183221
27	0.3562229286
28	0.3518914323
29	0.3435416651
30	0.3396501693
31	0.3359912326
32	0.3316862652
33	0.3283816705
34	0.3236915466
35	0.3199741593
36	0.31506922
37	0.3076930567
38	0.3020276894
39	0.2969850203
40	0.2929078824
41	0.289823162
42	0.2859402009
43	0.2815136001
44	0.2776555649
45	0.2734994679
46	0.2704844311
47	0.2663711801
48	0.2634778297
49	0.2605456595
