iter	Passed	Remaining
0	8	420
1	17	411
2	25	396
3	33	389
4	42	381
5	50	370
6	58	360
7	67	352
8	75	345
9	78	313
10	86	306
11	91	290
12	100	286
13	109	280
14	117	275
15	126	268
16	135	263
17	144	256
18	152	248
19	161	241
20	169	233
21	177	225
22	185	217
23	193	209
24	202	202
25	210	194
26	218	186
27	226	178
28	235	170
29	243	162
30	252	154
31	260	146
32	269	138
33	278	130
34	286	122
35	295	114
36	303	106
37	311	98
38	320	90
39	328	82
40	335	73
41	344	65
42	352	57
43	361	49
44	369	41
45	377	32
46	386	24
47	395	16
48	403	8
49	411	0
